Order,Section,Item,Headline / label,Supporting copy,Summary / collapsed copy,Supporting points,CTA / link text,Link destination,Attached component,Attached visual / asset,Source file,Proposed headline,Proposed supporting copy,Status,Notes
1,Hero,Introduction,Turn conversations into completed work.,"Innflow brings customer conversations, AI agents, and team workflows into one workspace. Respond to requests, delegate tasks, and manage follow-ups with the context your team needs.",An AI workspace for your team,,Get started | Book a demo | Continue with Google | Sign up with email,siteConfig.signupUrl | siteConfig.demoUrl | siteConfig.googleAuthUrl | siteConfig.signupUrl,ScrollShowcase,Text introduction,src/app/preview/scroll-showcase/scroll-showcase.tsx,,,Current local implementation,
2,Opening showcase,Scheduling,Bring scheduling into the conversation,"Coordinate availability and meeting details with your team, keeping the conversation and next step together.",,,Explore Innflow,/products/platform,ScrollShowcase > Illustration,BookingCalendar,src/app/preview/scroll-showcase/scroll-showcase.tsx,,,Current local implementation,
3,Opening showcase,AI assistant,Let your assistant take the next step,Bring your AI assistant into the conversation to help coordinate meetings and keep everyone moving forward.,,,Explore the platform,/products/platform,ScrollShowcase > Illustration,SchedulingAssistant,src/app/preview/scroll-showcase/scroll-showcase.tsx,,,Current local implementation,Badge: Beta
4,Opening showcase,Meeting notes,Keep meeting notes and next steps together,"Keep meeting notes, decisions and follow-up tasks together so your team can review the next steps.",,,Explore the platform,/products/platform,ScrollShowcase > Illustration,Illustration: meeting recap and action items,src/app/preview/scroll-showcase/scroll-showcase.tsx,,,Current local implementation,Badge: New
5,Opening showcase,Billing,Keep billing conversations connected,"Bring invoice questions, payment context and follow-ups into the same workspace as your team.",,,Explore the platform,/products/platform,ScrollShowcase > Illustration,Illustration: payment settings,src/app/preview/scroll-showcase/scroll-showcase.tsx,,,Current local implementation,Badge: New
6,Workspace introduction,Section heading,Move everyday work forward.,"Schedule meetings, prepare follow-ups, review decisions, and handle billing questions.",,,Get started,siteConfig.signupUrl,WorkspaceOverview,Connect / Train / Assign / Deploy cards,src/app/preview/scroll-showcase/workspace-overview.tsx,Put AI to work for your team.,"Connect your tools and knowledge, give your agents clear instructions, and delegate everyday tasks. Review their progress and stay involved where it matters.",Current local implementation,Latest proposed rewrite is recorded separately; it has not been applied to the homepage.
7,Workspace introduction,Connect,Connect,"Connect the tools you use and add relevant business information, giving your agents the context to get started.",Connect your tools. Add your knowledge.,Connect your tools | Add your business information | Give your agents context,,,WorkspaceOverview > workspaceCards,/preview/homepage/workspace-overview/connect-inactive.png | /preview/homepage/workspace-overview/connect-background.png,src/app/preview/scroll-showcase/workspace-overview.tsx,,,Current local implementation,Figma node 350:11101; connect-foreground.png overlay
8,Workspace introduction,Train,Train,"Share your preferences, processes, and instructions so your agents know how you want the work handled.",Show your agents how you work.,Share your preferences | Define your processes | Give clear instructions,,,WorkspaceOverview > workspaceCards,/preview/homepage/workspace-overview/assist-inactive.png | /preview/homepage/workspace-overview/assist-background.png,src/app/preview/scroll-showcase/workspace-overview.tsx,,,Current local implementation,Figma node 385:9888; active state repeats the supporting points over the artwork
9,Workspace introduction,Assign,Assign,"Give your agents a focused task, with clear responsibilities and review points for your team.",Hand off the work.,Assign a focused task | Set clear responsibilities | Choose where approval is needed,,,WorkspaceOverview > workspaceCards,/preview/homepage/workspace-overview/automate-inactive.png | /preview/homepage/workspace-overview/automate-background.png,src/app/preview/scroll-showcase/workspace-overview.tsx,,,Current local implementation,Figma node 385:9992; active state repeats the supporting points over the artwork
10,Workspace introduction,Deploy,Deploy,Put your agents to work and follow their progress from one workspace.,Put your agents to work. Review progress.,Put your agents to work | Follow their progress | Manage work from one workspace,,,WorkspaceOverview > workspaceCards,/preview/homepage/workspace-overview/learn-inactive.png | /preview/homepage/workspace-overview/learn-background.png,src/app/preview/scroll-showcase/workspace-overview.tsx,,,Current local implementation,Figma node 385:10096; active state repeats the supporting points over the artwork
11,Communication,Section heading,Keep every request and handoff together.,,,,,,BaselineFeatures > BaselineFeature,Feature items below,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Section id: channels; Figma node 350:11199
12,Communication,Orchestrate actions,Orchestrate actions,"Give each request a clear owner. Route urgent issues to a teammate and delegate routine tasks to an agent, with the conversation attached.",,,,,BaselineFeature > ChannelsDemos,OrchestrateActionsDemo,src/app/preview/scroll-showcase/baseline-features.tsx,,,Current local implementation,Item 1; supporting copy resolves from baseline-features.tsx or homepage-content.ts.
