Order,Section,Headline,Supporting copy,Included items,CTA,Source file
1,Hero,Turn conversations into completed work.,"Innflow brings customer conversations, AI agents, and team workflows into one workspace. Respond to requests, delegate tasks, and manage follow-ups with the context your team needs.",,Get started | Book a demo | Continue with Google | Sign up with email,src/app/preview/scroll-showcase/scroll-showcase.tsx
2,Opening showcase,,,Scheduling | AI assistant | Meeting notes | Billing,Explore Innflow | Explore the platform,src/app/preview/scroll-showcase/scroll-showcase.tsx
3,Workspace introduction,Move everyday work forward.,"Schedule meetings, prepare follow-ups, review decisions, and handle billing questions.",Connect | Train | Assign | Deploy,Get started,src/app/preview/scroll-showcase/workspace-overview.tsx
4,Communication,Keep every request and handoff together.,,"Orchestrate actions | All your channels, connected | An assistant for your team | AI agents, working together | Workflows that take action | Insights from every interaction | Flexible, API-first building blocks",,src/app/preview/scroll-showcase/baseline-features.tsx
5,AI agents,Delegate tasks. Stay involved.,,Bring your agents together | Delegate a task. Review the result. | Build your own agents,,src/app/preview/scroll-showcase/baseline-features.tsx
6,Automation,Keep the next step moving.,,Connect external systems | Route by context | Auto-triage requests | Keep thread summaries current,,src/app/preview/scroll-showcase/baseline-features.tsx
7,Insights,See what needs your attention.,,Detect trends | Catch up instantly | Daily summaries | Product insights,,src/app/preview/scroll-showcase/baseline-features.tsx
8,Customer stories,Dynamic CMS heading (fallback: Real customers. Real results.),,CMS section,,src/app/preview/scroll-showcase/baseline-lower-sections.tsx
9,Integrations,Connect the tools behind your work.,Bring relevant information into the tools your team already uses. Explore supported connections to find the right fit for your workflow.,Support channels | Your tools. Your workflows. | Availability note,View all integrations,src/app/preview/scroll-showcase/baseline-lower-sections.tsx
10,Closing,Start with one workflow your team handles every day.,"Choose a recurring request, follow-up, or handoff. See how Innflow can help your team manage it from the first conversation to the next step.",Scene 1 | Scene 2 | Scene 3 | Scene 4,Get started,src/app/preview/scroll-showcase/baseline-lower-sections.tsx
