"Record type","Navigation group","Label","Destination or identifier","URL","Control behavior","New behavior","Off behavior","Verification","Notes","Source"
"Navbar destination","Header","Home logo","/","https://innflow.ai/","Original homepage","Baselane homepage","Baselane homepage","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Platform","/platform","https://innflow.ai/platform","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product; Solutions","Copilot; Agent OS; Listings; Advertising; Application & eSign","/products/agent-os","https://innflow.ai/products/agent-os","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Agentic Workflows","/products/agentic-workflows","https://innflow.ai/products/agentic-workflows","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Agent Studio","/products/agent-studio","https://innflow.ai/products/agent-studio","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","AI Agents","/products/ai-agents","https://innflow.ai/products/ai-agents","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Agent Skills; Templates","/skills","https://innflow.ai/skills","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","AI Website Builder","/features/website","https://innflow.ai/features/website","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product; Solutions","Databases; CRM","/products/databases","https://innflow.ai/products/databases","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Agentic Automation","/platform/agentic-automation","https://innflow.ai/platform/agentic-automation","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Self Learning","/platform/self-learning","https://innflow.ai/platform/self-learning","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Evaluations","/platform/evaluations","https://innflow.ai/platform/evaluations","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Analytics and Observability","/platform/analytics-and-observability","https://innflow.ai/platform/analytics-and-observability","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Integrations","/platform/integrations","https://innflow.ai/platform/integrations","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Deployment Options","/platform/deployment-options","https://innflow.ai/platform/deployment-options","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Security and Compliance","/platform/security-and-compliance","https://innflow.ai/platform/security-and-compliance","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Product","Connections","/connections","https://innflow.ai/connections","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","Directory of 37 BL page links; not an integrations catalog.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Solutions","Conventional; Student Housing; Centralized Operations; Owner Operators and Fee Managers; Owners; Move-In; Renewals; Delinquency; Owner Portal","/property-management","https://innflow.ai/property-management","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Portfolios; Solutions","Residential; Multifamily; Commercial; Community Associations; Maintenance & Mobile App","/multi-property-investors","https://innflow.ai/multi-property-investors","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Resources","Integrations","/integrations","https://innflow.ai/integrations","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Header; Resources","Pricing","/pricing","https://innflow.ai/pricing","Original pricing","Baselane pricing","Baselane pricing","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Header; Resources","Blog; Customer Stories; Asset Library; View all posts","/blog","https://innflow.ai/blog","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"Navbar destination","Portfolios","Talk to sales banner","/contact","https://innflow.ai/contact","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/components/mega-menu.tsx"
"External destination","Header / Resources","Become an Affiliate","https://cal.com/julian-patrick-afu0u2/innflow-demo?overlayCalendar=true","https://cal.com/julian-patrick-afu0u2/innflow-demo?overlayCalendar=true","Same external destination","External destination","External destination","Source inventory; not individually live-verified","External demo booking destination.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/config/site.ts"
"External destination","Header / Resources","Continue with Google","https://app.innflow.ai/auth/google","https://app.innflow.ai/auth/google","Same external destination","External destination","External destination","Source inventory; not individually live-verified","Configured default; NEXT_PUBLIC_GOOGLE_AUTH_URL can override.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/config/site.ts"
"External destination","Header / Resources","Log in","https://app.innflow.ai/login","https://app.innflow.ai/login","Not present in original header","External destination","External destination","Source inventory; not individually live-verified","Baselane header only; app origin is configurable.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/config/site.ts"
"Dynamic destination","Resources","Latest from Innflow","/blog/{slug}","","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Articles selected dynamically from published Sanity posts; source query retrieves up to 5. Not a fixed page URL.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/lib/sanity.ts"
"BL directory destination","Get started","BL Home","/","https://innflow.ai/","Original homepage","Baselane homepage","Baselane homepage","HTTP 200 verified 2026-09-12","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Get started","Plans and pricing","/pricing","https://innflow.ai/pricing","Original pricing","Baselane pricing","Baselane pricing","HTTP 200 verified 2026-09-12","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Get started","Book a demo","/demo","https://innflow.ai/demo","Redirect to Cal.com","Baselane demo","Redirect to Cal.com","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Get started","Who we help","/our-customers","https://innflow.ai/our-customers","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Property operations","/landlord-banking","https://innflow.ai/landlord-banking","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Connected property records","/landlord-accounting","https://innflow.ai/landlord-accounting","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Recurring rental workflows","/rent-collection","https://innflow.ai/rent-collection","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Rental workflows overview","/rent-collection-2","https://innflow.ai/rent-collection-2","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Deposit workflows","/security-deposit-account","https://innflow.ai/security-deposit-account","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Screening workflows","/tenant-screening-service","https://innflow.ai/tenant-screening-service","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Lease document workflows","/lease-agreement","https://innflow.ai/lease-agreement","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Property review preparation","/landlord-insurance","https://innflow.ai/landlord-insurance","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Property document preparation","/tax-preparation","https://innflow.ai/tax-preparation","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Property reserve planning","/landlord-banking-apy","https://innflow.ai/landlord-banking-apy","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property operations","Financing preparation","/rental-property-loans","https://innflow.ai/rental-property-loans","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property teams","Multi-property operations","/multi-property-investors","https://innflow.ai/multi-property-investors","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","HTTP 200 verified 2026-09-12","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property teams","Long-term rental operations","/long-term-rentals","https://innflow.ai/long-term-rentals","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property teams","Mid-term rental operations","/mid-term-rentals","https://innflow.ai/mid-term-rentals","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property teams","Short-term rental operations","/short-term-rentals","https://innflow.ai/short-term-rentals","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Property teams","Connected resident experiences","/renters","https://innflow.ai/renters","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Resource library","/resources","https://innflow.ai/resources","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Document preparation worksheets","/free-rental-forms-and-templates-for-landlords","https://innflow.ai/free-rental-forms-and-templates-for-landlords","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Rent comparison calculator","/how-much-should-i-charge-for-rent","https://innflow.ai/how-much-should-i-charge-for-rent","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Real estate investing resources","/real-estate-investing","https://innflow.ai/real-estate-investing","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Workflow learning","/webinars","https://innflow.ai/webinars","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
"BL directory destination","Resources","Product highlights","/product-updates","https://innflow.ai/product-updates","Shared content; original header/footer","Shared content; Baselane header/footer","Shared content; Baselane header/footer","Source inventory; not individually live-verified","Reached through Product > Connections; not a separate top-level navbar entry.","https://github.com/innflow-ai/frontend/blob/8fb2143bb480be62877777afce09318a390a3e03/src/app/connections/page.tsx"
